City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Clouds,Wind
0,Rikitea,PF,2022-10-12 20:1911,-23.1203,-134.9692,67.93,64,0,17.52
1,Mataura,NZ,2022-10-12 20:1912,-46.1927,168.8643,44.96,69,98,0.85
2,Albany,US,2022-10-12 20:1535,42.6001,-73.9662,68.88,48,100,3.0
3,Kyaikkami,MM,2022-10-12 20:1715,16.08,97.5675,79.18,77,6,3.31
4,Punta Arenas,CL,2022-10-12 20:1703,-53.15,-70.9167,41.02,70,40,29.93
5,Ushuaia,AR,2022-10-12 20:1914,-54.8,-68.3,37.06,87,100,27.63
6,Santa Maria,BR,2022-10-12 20:1823,-29.6842,-53.8069,70.9,56,1,5.73
7,Minusinsk,RU,2022-10-12 20:1915,53.7103,91.6875,41.99,84,100,9.98
8,Vostok,RU,2022-10-12 20:1916,46.4856,135.8833,31.82,78,32,4.56
9,Kamaishi,JP,2022-10-12 20:1916,39.2667,141.8833,58.68,73,100,5.53
10,Ushtobe,KZ,2022-10-12 20:1917,45.2514,77.9838,48.99,29,0,4.97
11,Bredasdorp,ZA,2022-10-12 20:1918,-34.5322,20.0403,59.16,96,100,2.37
12,Burnie,AU,2022-10-12 20:1918,-41.0667,145.9167,56.95,94,100,15.19
13,Cape Town,ZA,2022-10-12 20:1712,-33.9258,18.4232,64.27,84,75,16.11
14,Guerrero Negro,MX,2022-10-12 20:1919,27.9769,-114.0611,74.44,66,38,14.29
15,Lagoa,PT,2022-10-12 20:1920,39.05,-27.9833,70.66,82,6,10.25
16,Carlagan,PH,2022-10-12 20:1921,14.975,122.0456,80.37,81,99,8.01
17,Carutapera,BR,2022-10-12 20:1921,-1.195,-46.02,82.33,69,100,10.02
18,Shahrud,IR,2022-10-12 20:1922,36.4182,54.9763,59.05,69,0,8.75
19,Ossora,RU,2022-10-12 20:1923,59.2353,163.0719,30.29,94,100,16.44
20,Guerrero,MX,2022-10-12 20:1923,17.6667,-100.0,76.66,79,90,1.59
21,Tiksi,RU,2022-10-12 20:1924,71.6872,128.8694,19.83,87,100,8.7
22,Kapaa,US,2022-10-12 20:1924,22.0752,-159.319,84.18,82,0,5.75
23,Bluff,NZ,2022-10-12 20:1925,-46.6,168.3333,46.98,66,98,3.91
24,Bengkulu,ID,2022-10-12 20:1926,-3.8004,102.2655,74.5,89,100,1.34
25,Vestmannaeyjar,IS,2022-10-12 20:1926,63.4427,-20.2734,46.4,74,97,13.56
26,Bogande,BF,2022-10-12 20:1927,12.9714,-0.1436,89.13,32,39,5.61
27,Atuona,PF,2022-10-12 20:1928,-9.8,-139.0333,77.02,81,69,19.95
28,Bari,IT,2022-10-12 20:1928,41.1177,16.8512,64.87,92,0,3.44
29,Mandapam,IN,2022-10-12 20:1929,9.2833,79.1167,81.59,78,99,10.58
30,Port Hedland,AU,2022-10-12 20:1929,-20.3167,118.5667,73.45,17,1,11.5
31,Butaritari,KI,2022-10-12 20:1930,3.0707,172.7902,81.91,76,63,22.41
32,Copiapo,CL,2022-10-12 20:1931,-27.3667,-70.3333,56.89,30,17,8.72
33,Chuy,UY,2022-10-12 20:1932,-33.6971,-53.4616,67.8,54,0,4.85
34,Yellowknife,CA,2022-10-12 20:1526,62.456,-114.3525,36.12,51,20,23.0
35,Nanortalik,GL,2022-10-12 20:1933,60.1432,-45.2371,29.79,67,20,13.58
36,Hasaki,JP,2022-10-12 20:1934,35.7333,140.8333,68.22,80,100,20.8
37,Touros,BR,2022-10-12 20:1934,-5.1989,-35.4608,78.93,76,100,17.9
38,Georgetown,MY,2022-10-12 20:1803,5.4112,100.3354,81.9,88,20,0.0
39,Ribeira Grande,PT,2022-10-12 20:1936,38.5167,-28.7,72.77,83,75,3.44
40,Husavik,IS,2022-10-12 20:1936,66.0449,-17.3389,40.42,73,100,7.54
41,Warmbad,NA,2022-10-12 20:1937,-28.45,18.7333,85.06,22,100,9.13
42,Alice Springs,AU,2022-10-12 20:1938,-23.7,133.8833,56.75,72,100,12.66
43,Yinchuan,CN,2022-10-12 20:1939,38.4681,106.2731,55.6,15,100,5.95
44,Kruisfontein,ZA,2022-10-12 20:1939,-34.0033,24.7314,66.88,91,100,4.12
45,Vaini,TO,2022-10-12 20:1940,-21.2,-175.2,75.36,88,40,4.61
46,Malinovskiy,RU,2022-10-12 20:2041,61.1953,62.8397,37.63,96,55,5.28
47,Port Elizabeth,ZA,2022-10-12 20:2041,-33.918,25.5701,69.1,95,20,11.5
48,Hilo,US,2022-10-12 20:1548,19.7297,-155.09,92.28,71,20,5.75
49,Bukachacha,RU,2022-10-12 20:2042,52.9833,116.9167,33.13,80,100,3.29
50,Port Lincoln,AU,2022-10-12 20:2043,-34.7333,135.8667,52.72,74,65,10.78
51,Koslan,RU,2022-10-12 20:2043,63.4564,48.8989,40.51,97,100,3.44
52,Kabare,CD,2022-10-12 20:2044,-2.4683,28.8242,62.65,86,95,2.19
53,Tuy Hoa,VN,2022-10-12 20:2044,13.0833,109.3,76.1,87,90,9.82
54,Pangkalanbuun,ID,2022-10-12 20:2045,-2.6833,111.6167,73.53,99,100,1.3
55,Busselton,AU,2022-10-12 20:2046,-33.65,115.3333,45.72,80,11,3.87
56,Dalvik,IS,2022-10-12 20:2046,65.9702,-18.5286,40.93,74,100,10.6
57,Yulara,AU,2022-10-12 20:2047,-25.2406,130.9889,53.55,75,100,19.93
58,Upernavik,GL,2022-10-12 20:2047,72.7868,-56.1549,13.95,78,3,6.51
59,San Cristobal,VE,2022-10-12 20:1856,7.7669,-72.225,84.94,44,93,4.43
60,Dambulla,LK,2022-10-12 20:2048,7.86,80.6517,73.53,95,78,3.56
61,Jalu,LY,2022-10-12 20:2049,29.0331,21.5482,78.24,31,0,6.71
62,Puri,IN,2022-10-12 20:2049,19.8,85.85,77.52,87,100,6.13
63,Hami,CN,2022-10-12 20:2050,42.8,93.45,48.24,55,4,4.43
64,Carnarvon,AU,2022-10-12 20:2051,-24.8667,113.6333,60.85,46,0,20.31
65,Jaque,PA,2022-10-12 20:2051,7.5175,-78.1703,80.56,82,100,4.07
66,Puerto Ayora,EC,2022-10-12 20:2052,-0.7393,-90.3518,71.56,86,96,5.99
67,Tateyama,JP,2022-10-12 20:2053,34.9833,139.8667,63.1,82,100,5.75
68,Chapais,CA,2022-10-12 20:2053,49.7834,-74.8492,60.58,82,99,13.06
69,Plettenberg Bay,ZA,2022-10-12 20:2054,-34.0527,23.3716,63.23,95,96,0.81
70,Arkhangelsk,RU,2022-10-12 20:2055,64.5401,40.5433,42.91,86,40,4.47
71,Lulea,SE,2022-10-12 20:1610,65.5842,22.1547,37.47,81,0,3.44
72,Ipoh,MY,2022-10-12 20:2056,4.5841,101.0829,74.48,95,100,2.89
73,Ariquemes,BR,2022-10-12 20:2056,-9.9133,-63.0408,89.11,46,97,3.56
74,Castro,BR,2022-10-12 20:2057,-24.7911,-50.0119,64.62,91,100,7.05
75,Chauk,MM,2022-10-12 20:2057,20.8833,94.8167,77.11,87,8,5.32
76,Yar-Sale,RU,2022-10-12 20:2058,66.8333,70.8333,36.45,83,79,6.85
77,Saskylakh,RU,2022-10-12 20:2059,71.9167,114.0833,21.27,97,98,2.93
78,Grants,US,2022-10-12 20:2059,35.1473,-107.8514,73.63,15,0,10.36
79,Abu Samrah,SY,2022-10-12 20:2100,35.3029,37.1841,73.09,45,96,5.59
80,Saldanha,ZA,2022-10-12 20:2100,-33.0117,17.9442,60.85,87,56,19.04
81,Thinadhoo,MV,2022-10-12 20:2101,0.5333,72.9333,80.65,79,100,14.67
82,Tazovskiy,RU,2022-10-12 20:2102,67.4667,78.7,35.46,79,100,11.12
83,Jamestown,US,2022-10-12 20:1841,42.097,-79.2353,67.17,50,20,16.11
84,Ipixuna,BR,2022-10-12 20:2104,-1.7625,-48.8043,85.3,63,28,4.68
85,Bambous Virieux,MU,2022-10-12 20:2105,-20.3428,57.7575,71.85,68,75,6.91
86,San Patricio,US,2022-10-12 20:2106,28.017,-97.5169,93.16,47,69,10.09
87,Kautokeino,NO,2022-10-12 20:2107,69.0125,23.0412,33.15,78,6,9.69
88,Goderich,CA,2022-10-12 20:2108,43.7501,-81.7165,67.91,63,100,16.11
89,Qaanaaq,GL,2022-10-12 20:2109,77.484,-69.3632,7.0,65,6,7.47
90,Constantine,DZ,2022-10-12 20:2109,36.365,6.6147,67.41,72,75,4.61
91,Mar Del Plata,AR,2022-10-12 20:2110,-38.0023,-57.5575,64.42,60,0,11.99
92,Thompson,CA,2022-10-12 20:1735,55.7435,-97.8558,37.56,93,100,18.41
93,Cardston,CA,2022-10-12 20:2214,49.2,-113.3019,57.49,35,75,3.44
94,Hermanus,ZA,2022-10-12 20:2215,-34.4187,19.2345,63.81,89,100,7.81
95,Caravelas,BR,2022-10-12 20:2216,-17.7125,-39.2481,77.97,64,13,7.52
96,Kodiak,US,2022-10-12 20:2216,57.79,-152.4072,42.31,56,100,17.27
97,Ancud,CL,2022-10-12 20:2217,-41.8697,-73.8203,48.06,49,67,15.43
98,Jablah,SY,2022-10-12 20:2218,35.3614,35.9256,73.36,71,78,2.13
99,Tasiilaq,GL,2022-10-12 20:2218,65.6145,-37.6368,32.16,93,100,6.22
100,Luderitz,NA,2022-10-12 20:2219,-26.6481,15.1594,63.07,78,100,9.95
101,Puerto Narino,CO,2022-10-12 20:2220,-3.7703,-70.3831,81.75,72,100,4.59
102,Bonoua,CI,2022-10-12 20:2220,5.2741,-3.595,80.22,89,53,6.24
103,Richards Bay,ZA,2022-10-12 20:2222,-28.783,32.0377,70.57,90,80,3.94
104,Tautira,PF,2022-10-12 20:2222,-17.7333,-149.15,76.14,83,52,18.21
105,New Norfolk,AU,2022-10-12 20:2223,-42.7826,147.0587,59.92,70,100,5.01
106,Mountain Home,US,2022-10-12 20:1948,43.133,-115.6912,72.88,23,0,10.36
107,Barrow,US,2022-10-12 20:2224,71.2906,-156.7887,30.22,80,75,24.16
108,Talara,PE,2022-10-12 20:2225,-4.5772,-81.2719,70.56,64,0,14.97
109,Dingle,PH,2022-10-12 20:2226,10.9995,122.6711,75.42,92,100,3.83
110,Sorland,NO,2022-10-12 20:2227,67.667,12.6934,49.86,91,100,33.44
111,Hobart,AU,2022-10-12 20:2158,-42.8794,147.3294,60.26,83,100,20.71
112,Karatuzskoye,RU,2022-10-12 20:2228,53.6072,92.8667,39.58,89,100,10.8
113,Malakal,SS,2022-10-12 20:2228,9.5334,31.6605,75.47,79,62,3.76
114,Coahuayana,MX,2022-10-12 20:2229,18.7333,-103.6833,88.39,65,100,4.56
115,Aksu,CN,2022-10-12 20:2230,41.1231,80.2644,51.24,36,0,4.79
116,Aksarka,RU,2022-10-12 20:2231,66.5606,67.7975,39.34,79,100,8.79
117,Cuamba,MZ,2022-10-12 20:2231,-14.8031,36.5372,75.29,30,2,2.86
118,Neiafu,TO,2022-10-12 20:2232,-18.65,-173.9833,79.48,78,20,2.3
119,Jales,BR,2022-10-12 20:2233,-20.2689,-50.5458,81.97,48,100,5.48
120,Coihaique,CL,2022-10-12 20:1914,-45.5752,-72.0662,46.35,42,40,10.36
121,Kaitangata,NZ,2022-10-12 20:2234,-46.2817,169.8464,44.85,70,89,4.45
122,Nikolskoye,RU,2022-10-12 20:2234,59.7035,30.7861,39.09,92,14,4.47
123,Suntar,RU,2022-10-12 20:2235,62.1444,117.6319,35.33,96,100,8.77
124,Avera,US,2022-10-12 20:2236,33.194,-82.5271,77.56,75,100,7.38
125,Khatanga,RU,2022-10-12 20:2236,71.9667,102.5,30.29,98,100,7.54
126,Brae,GB,2022-10-12 20:2237,60.3964,-1.353,48.33,71,11,14.41
127,San Rafael,AR,2022-10-12 20:2238,-34.6177,-68.3301,78.46,14,47,6.91
128,Torbay,CA,2022-10-12 20:2239,47.6666,-52.7314,54.39,67,75,6.91
129,Kathmandu,NP,2022-10-12 20:2157,27.7167,85.3167,66.42,88,75,3.44
130,Luang Prabang,LA,2022-10-12 20:2240,19.8856,102.1347,74.14,87,100,0.36
